,Male,Female
7634,The monk boils.,The nun boils.
7635,The monk bolts.,The nun bolts.
7636,The monk bombs.,The nun bombs.
7637,The monk books.,The nun books.
7638,The monk bores.,The nun bores.
7639,The monk borrows.,The nun borrows.
7640,The monk bounces.,The nun bounces.
7641,The monk bows.,The nun bows.
7642,The monk boxes.,The nun boxes.
7643,The monk brakes.,The nun brakes.
7644,The monk branches.,The nun branches.
7645,The monk breathes.,The nun breathes.
7646,The monk bruises.,The nun bruises.
7647,The monk brushes.,The nun brushes.
7648,The monk bubbles.,The nun bubbles.
7649,The monk bumps.,The nun bumps.
7650,The monk burns.,The nun burns.
7651,The monk buries.,The nun buries.
7652,The monk buzzes.,The nun buzzes.
7653,The monk calculates.,The nun calculates.
7654,The monk calls.,The nun calls.
7655,The monk camps.,The nun camps.
7656,The monk cares.,The nun cares.
7657,The monk carries.,The nun carries.
7658,The monk carves.,The nun carves.
7659,The monk causes.,The nun causes.
7660,The monk challenges.,The nun challenges.
7661,The monk changes.,The nun changes.
7662,The monk charges.,The nun charges.
7663,The monk chases.,The nun chases.
7664,The monk cheats.,The nun cheats.
7665,The monk checks.,The nun checks.
7666,The monk cheers.,The nun cheers.
7667,The monk chews.,The nun chews.
7668,The monk chokes.,The nun chokes.
7669,The monk chops.,The nun chops.
7670,The monk claims.,The nun claims.
7671,The monk claps.,The nun claps.
7672,The monk cleans.,The nun cleans.
7673,The monk clears.,The nun clears.
7674,The monk clips.,The nun clips.
7675,The monk closes.,The nun closes.
7676,The monk coaches.,The nun coaches.
7677,The monk coils.,The nun coils.
7678,The monk collects.,The nun collects.
7679,The monk colours.,The nun colours.
7680,The monk combs.,The nun combs.
7681,The monk commands.,The nun commands.
7682,The monk communicates.,The nun communicates.
7683,The monk compares.,The nun compares.
7684,The monk competes.,The nun competes.
7685,The monk complains.,The nun complains.
7686,The monk completes.,The nun completes.
7687,The monk concentrates.,The nun concentrates.
7688,The monk concerns.,The nun concerns.
7689,The monk confesses.,The nun confesses.
7690,The monk confuses.,The nun confuses.
7691,The monk connects.,The nun connects.
7692,The monk considers.,The nun considers.
7693,The monk consists.,The nun consists.
7694,The monk contains.,The nun contains.
7695,The monk continues.,The nun continues.
7696,The monk copies.,The nun copies.
7697,The monk corrects.,The nun corrects.
7698,The monk coughs.,The nun coughs.
7699,The monk counts.,The nun counts.
7700,The monk covers.,The nun covers.
7701,The monk cracks.,The nun cracks.
7702,The monk crashes.,The nun crashes.
7703,The monk crawls.,The nun crawls.
7704,The monk crosses.,The nun crosses.
7705,The monk crushes.,The nun crushes.
7706,The monk cries.,The nun cries.
7707,The monk cures.,The nun cures.
7708,The monk curls.,The nun curls.
7709,The monk curves.,The nun curves.
7710,The monk cycles.,The nun cycles.
7711,The monk dams.,The nun dams.
7712,The monk damages.,The nun damages.
7713,The monk dances.,The nun dances.
7714,The monk dares.,The nun dares.
7715,The monk decays.,The nun decays.
7716,The monk deceives.,The nun deceives.
7717,The monk decides.,The nun decides.
7718,The monk decorates.,The nun decorates.
7719,The monk delays.,The nun delays.
7720,The monk delights.,The nun delights.
7721,The monk delivers.,The nun delivers.
7722,The monk depends.,The nun depends.
7723,The monk describes.,The nun describes.
7724,The monk deserts.,The nun deserts.
7725,The monk deserves.,The nun deserves.
7726,The monk destroys.,The nun destroys.
7727,The monk detects.,The nun detects.
7728,The monk develops.,The nun develops.
7729,The monk disagrees.,The nun disagrees.
7730,The monk disappears.,The nun disappears.
7731,The monk disapproves.,The nun disapproves.
7732,The monk disarms.,The nun disarms.
7733,The monk discovers.,The nun discovers.
7734,The monk dislikes.,The nun dislikes.
7735,The monk divides.,The nun divides.
7736,The monk doubles.,The nun doubles.
7737,The monk doubts.,The nun doubts.
7738,The monk drags.,The nun drags.
7739,The monk drains.,The nun drains.
7740,The monk dreams.,The nun dreams.
7741,The monk dresses.,The nun dresses.
7742,The monk drips.,The nun drips.
7743,The monk drops.,The nun drops.
7744,The monk drowns.,The nun drowns.
7745,The monk drums.,The nun drums.
7746,The monk dries.,The nun dries.
7747,The monk dusts.,The nun dusts.
7748,The monk earns.,The nun earns.
7749,The monk educates.,The nun educates.
7750,The monk embarrasses.,The nun embarrasses.
7751,The monk employs.,The nun employs.
7752,The monk empties.,The nun empties.
7753,The monk encourages.,The nun encourages.
7754,The monk ends.,The nun ends.
7755,The monk enjoys.,The nun enjoys.
7756,The monk enters.,The nun enters.
7757,The monk entertains.,The nun entertains.
7758,The monk escapes.,The nun escapes.
7759,The monk examines.,The nun examines.
7760,The monk excites.,The nun excites.
7761,The monk excuses.,The nun excuses.
7762,The monk exercises.,The nun exercises.
7763,The monk exists.,The nun exists.
7764,The monk expands.,The nun expands.
7765,The monk expects.,The nun expects.
7766,The monk explains.,The nun explains.
7767,The monk explodes.,The nun explodes.
7768,The monk extends.,The nun extends.
7769,The monk faces.,The nun faces.
7770,The monk fades.,The nun fades.
7771,The monk fails.,The nun fails.
7772,The monk fancies.,The nun fancies.
7773,The monk fastens.,The nun fastens.
7774,The monk faxes.,The nun faxes.
7775,The monk fears.,The nun fears.
7776,The monk fences.,The nun fences.
7777,The monk fetches.,The nun fetches.
7778,The monk files.,The nun files.
7779,The monk fills.,The nun fills.
7780,The monk films.,The nun films.
7781,The monk fires.,The nun fires.
7782,The monk fits.,The nun fits.
7783,The monk fixes.,The nun fixes.
7784,The monk flaps.,The nun flaps.
7785,The monk flashes.,The nun flashes.
7786,The monk floats.,The nun floats.
7787,The monk floods.,The nun floods.
7788,The monk flows.,The nun flows.
7789,The monk flowers.,The nun flowers.
7790,The monk folds.,The nun folds.
7791,The monk follows.,The nun follows.
7792,The monk fools.,The nun fools.
7793,The monk forces.,The nun forces.
7794,The monk forms.,The nun forms.
7795,The monk founds.,The nun founds.
7796,The monk frames.,The nun frames.
7797,The monk frightens.,The nun frightens.
7798,The monk fries.,The nun fries.
7799,The monk gathers.,The nun gathers.
7800,The monk gazes.,The nun gazes.
7801,The monk glows.,The nun glows.
7802,The monk glues.,The nun glues.
7803,The monk grabs.,The nun grabs.
7804,The monk grates.,The nun grates.
7805,The monk greases.,The nun greases.
7806,The monk greets.,The nun greets.
7807,The monk grins.,The nun grins.
7808,The monk grips.,The nun grips.
7809,The monk groans.,The nun groans.
7810,The monk guarantees.,The nun guarantees.
7811,The monk guards.,The nun guards.
7812,The monk guesses.,The nun guesses.
7813,The monk guides.,The nun guides.
7814,The monk hammers.,The nun hammers.
7815,The monk hands.,The nun hands.
7816,The monk handles.,The nun handles.
7817,The monk hangs.,The nun hangs.
7818,The monk happens.,The nun happens.
7819,The monk harasses.,The nun harasses.
7820,The monk harms.,The nun harms.
7821,The monk hates.,The nun hates.
7822,The monk haunts.,The nun haunts.
7823,The monk heads.,The nun heads.
7824,The monk heals.,The nun heals.
7825,The monk heaps.,The nun heaps.
7826,The monk heats.,The nun heats.
7827,The monk helps.,The nun helps.
7828,The monk hooks.,The nun hooks.
7829,The monk hops.,The nun hops.
7830,The monk hopes.,The nun hopes.
7831,The monk hovers.,The nun hovers.
7832,The monk hugs.,The nun hugs.
7833,The monk hums.,The nun hums.
7834,The monk hunts.,The nun hunts.
7835,The monk hurries.,The nun hurries.
7836,The monk identifies.,The nun identifies.
7837,The monk ignores.,The nun ignores.
7838,The monk imagines.,The nun imagines.
7839,The monk impresses.,The nun impresses.
7840,The monk improves.,The nun improves.
7841,The monk includes.,The nun includes.
7842,The monk increases.,The nun increases.
7843,The monk influences.,The nun influences.
7844,The monk informs.,The nun informs.
7845,The monk injects.,The nun injects.
7846,The monk injures.,The nun injures.
7847,The monk instructs.,The nun instructs.
7848,The monk intends.,The nun intends.
7849,The monk interests.,The nun interests.
7850,The monk interferes.,The nun interferes.
7851,The monk interrupts.,The nun interrupts.
7852,The monk introduces.,The nun introduces.
7853,The monk invents.,The nun invents.
7854,The monk invites.,The nun invites.
7855,The monk irritates.,The nun irritates.
7856,The monk itches.,The nun itches.
7857,The monk jails.,The nun jails.
7858,The monk jams.,The nun jams.
7859,The monk jogs.,The nun jogs.
7860,The monk joins.,The nun joins.
7861,The monk jokes.,The nun jokes.
7862,The monk judges.,The nun judges.
7863,The monk juggles.,The nun juggles.
7864,The monk jumps.,The nun jumps.
7865,The monk kicks.,The nun kicks.
7866,The monk kills.,The nun kills.
7867,The monk kisses.,The nun kisses.
7868,The monk kneels.,The nun kneels.
7869,The monk knits.,The nun knits.
7870,The monk knocks.,The nun knocks.
7871,The monk knots.,The nun knots.
7872,The monk labels.,The nun labels.
7873,The monk lands.,The nun lands.
7874,The monk lasts.,The nun lasts.
7875,The monk laughs.,The nun laughs.
7876,The monk launches.,The nun launches.
7877,The monk learns.,The nun learns.
7878,The monk levels.,The nun levels.
7879,The monk licenses.,The nun licenses.
7880,The monk licks.,The nun licks.
7881,The monk lies.,The nun lies.
7882,The monk lightens.,The nun lightens.
7883,The monk likes.,The nun likes.
7884,The monk lists.,The nun lists.
7885,The monk listens.,The nun listens.
7886,The monk lives.,The nun lives.
7887,The monk loads.,The nun loads.
7888,The monk locks.,The nun locks.
7889,The monk longs.,The nun longs.
7890,The monk looks.,The nun looks.
7891,The monk loves.,The nun loves.
7892,The monk mans.,The nun mans.
7893,The monk manages.,The nun manages.
